StockCode,Description,TotalQuantitySold,AvgUnitPrice,TransactionCount,TotalRevenue,Cluster(KMeans)
10002,INFLATABLE POLITICAL GLOBE ,823,0.85,49,699.55,Low Volume - Low Price
10080,GROOVY CACTUS INFLATABLE,291,0.41190476190476194,21,119.86428571428573,Low Volume - Low Price
10120,DOGGY RUBBER,193,0.21,29,40.53,Low Volume - Low Price
10123C,HEARTS WRAPPING TAPE ,5,0.65,3,3.25,Low Volume - Low Price
10124A,SPOTS ON RED BOOKCOVER TAPE,16,0.42000000000000004,5,6.720000000000001,Low Volume - Low Price
10124G,ARMY CAMO BOOKCOVER TAPE,17,0.42,4,7.14,Low Volume - Low Price
10125,MINI FUNKY DESIGN TAPES,1226,0.7828125,61,959.728125,Low Volume - Low Price
10133,COLOURING PENCILS BROWN TUBE,2374,0.52664,123,1250.24336,Low Volume - Low Price
10135,COLOURING PENCILS BROWN TUBE,1937,1.1981147540983605,118,2320.7482786885244,Low Volume - Low Price
11001,ASSTD DESIGN RACING CAR PEN,1067,1.8340579710144926,67,1956.9398550724636,Low Volume - Low Price
15030,FAN BLACK FRAME ,143,0.29,12,41.47,Low Volume - Low Price
15034,PAPER POCKET TRAVELING FAN ,5034,0.13557894736842105,95,682.5044210526315,Low Volume - Low Price
15036,ASSORTED COLOURS SILK FAN,21132,0.8045288753799392,328,17001.304194528875,High Volume - Low Price
15039,SANDALWOOD FAN,1533,0.837027027027027,73,1283.1624324324325,Low Volume - Low Price
15044A,PINK PAPER PARASOL ,427,3.016,79,1287.832,Low Volume - Low Price
15044B,BLUE PAPER PARASOL ,306,2.933673469387755,49,897.704081632653,Low Volume - Low Price
15044C,PURPLE PAPER PARASOL,269,2.9373015873015875,62,790.1341269841271,Low Volume - Low Price
15044D,RED PAPER PARASOL,628,2.9557894736842107,75,1856.2357894736842,Low Volume - Low Price
15056BL,EDWARDIAN PARASOL BLACK,2649,5.887905405405406,296,15597.06141891892,Low Volume - Low Price
15056N,EDWARDIAN PARASOL NATURAL,3781,5.861623711340206,384,22162.79925257732,High Volume - Low Price
15056P,EDWARDIAN PARASOL PINK,759,5.932340425531915,139,4502.6463829787235,Low Volume - Low Price
15058A,BLUE POLKADOT GARDEN PARASOL,143,7.775454545454546,55,1111.89,Low Volume - Low Price
15058B,PINK POLKADOT GARDEN PARASOL,110,7.838372093023256,43,862.2209302325582,Low Volume - Low Price
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,6.35,30,1225.55,Low Volume - Low Price
15060B,FAIRY CAKE DESIGN UMBRELLA,410,3.8195833333333336,96,1566.0291666666667,Low Volume - Low Price
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,0.13614285714285712,70,393.72514285714277,Low Volume - Low Price
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,0.12,3,3.5999999999999996,Low Volume - Low Price
16011,ANIMAL STICKERS,1773,0.21,46,372.33,Low Volume - Low Price
16012,FOOD/DRINK SPONGE STICKERS,1244,0.21,35,261.24,Low Volume - Low Price
16014,SMALL CHINESE STYLE SCISSOR,13328,0.4014814814814815,54,5350.945185185185,High Volume - Low Price
16015,MEDIUM CHINESE STYLE SCISSOR,662,0.48833333333333334,24,323.2766666666667,Low Volume - Low Price
16016,LARGE CHINESE STYLE SCISSOR,1273,0.8460000000000001,65,1076.958,Low Volume - Low Price
16020C,CLEAR STATIONERY BOX SET ,6,0.85,2,5.1,Low Volume - Low Price
16033,MINI HIGHLIGHTER PENS,840,0.12,4,100.8,Low Volume - Low Price
16043,POP ART PUSH DOWN RUBBER ,98,0.12,2,11.76,Low Volume - Low Price
16045,POPART WOODEN PENCILS ASST,8900,0.043478260869565216,68,386.95652173913044,Low Volume - Low Price
16046,TEATIME PEN CASE & PENS,67,0.85,13,56.949999999999996,Low Volume - Low Price
16048,TEATIME ROUND PENCIL SHARPENER ,1437,0.13224489795918368,47,190.03591836734694,Low Volume - Low Price
16049,TEATIME GEL PENS ASST,504,0.24,5,120.96,Low Volume - Low Price
16052,TEATIME PUSH DOWN RUBBER,467,0.305,6,142.435,Low Volume - Low Price
16054,POPART RECT PENCIL SHARPENER ASST,1058,0.1288235294117647,34,136.29529411764705,Low Volume - Low Price
16151A,FLOWERS HANDBAG blue and orange,49,1.25,3,61.25,Low Volume - Low Price
16156L,"WRAP, CAROUSEL",475,0.42,18,199.5,Low Volume - Low Price
16156S,WRAP PINK FAIRY CAKES ,5800,0.4168862275449102,167,2417.9401197604793,Low Volume - Low Price
16161G,WRAP BAD HAIR DAY,700,0.1,22,70.0,Low Volume - Low Price
16161M,WRAP  PINK FLOCK,25,0.42,1,10.5,Low Volume - Low Price
16161P,WRAP ENGLISH ROSE ,7201,0.41944,249,3020.38744,High Volume - Low Price
16161U,WRAP SUKI AND FRIENDS,4050,0.41955555555555557,135,1699.2,Low Volume - Low Price
16162L,THE KING GIFT BAG,17,0.65,6,11.05,Low Volume - Low Price
16162M,THE KING GIFT BAG 25x24x12cm,26,0.42,7,10.92,Low Volume - Low Price
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,0.42000000000000004,20,138.18,Low Volume - Low Price
16169E,WRAP 50'S  CHRISTMAS,4438,0.4192105263157895,151,1860.4563157894736,Low Volume - Low Price
16169K,WRAP FOLK ART,200,0.42,8,84.0,Low Volume - Low Price
16169M,WRAP DAISY CARPET ,660,0.42,25,277.2,Low Volume - Low Price
16169N,WRAP BLUE RUSSIAN FOLKART,25,0.42,1,10.5,Low Volume - Low Price
16169P,WRAP GREEN RUSSIAN FOLKART ,50,0.42,2,21.0,Low Volume - Low Price
16202A,PASTEL PINK PHOTO ALBUM ,7,0.5,2,3.5,Low Volume - Low Price
16202B,PASTEL BLUE PHOTO ALBUM ,29,0.5,2,14.5,Low Volume - Low Price
16202E,BLACK PHOTO ALBUM ,14,1.7625,4,24.675,Low Volume - Low Price
16206B,RED PURSE WITH PINK HEART,7,1.25,2,8.75,Low Volume - Low Price
16207A,PINK STRAWBERRY HANDBAG ,13,2.95,5,38.35,Low Volume - Low Price
16207B,PINK HEART RED HANDBAG,4,2.7866666666666666,3,11.146666666666667,Low Volume - Low Price
16216,LETTER SHAPE PENCIL SHARPENER,3316,0.09463414634146342,41,313.8068292682927,Low Volume - Low Price
16218,CARTOON  PENCIL SHARPENERS,3760,0.0732,50,275.232,Low Volume - Low Price
16219,HOUSE SHAPE PENCIL SHARPENER,2867,0.09020833333333333,48,258.6272916666667,Low Volume - Low Price
16225,RATTLE SNAKE EGGS,762,1.1883116883116882,75,905.4935064935064,Low Volume - Low Price
16235,RECYCLED PENCIL WITH RABBIT ERASER,2664,0.21390243902439024,81,569.8360975609756,Low Volume - Low Price
16236,KITTY PENCIL ERASERS,1296,0.20931506849315068,73,271.27232876712327,Low Volume - Low Price
16237,SLEEPING CAT ERASERS,4538,0.20617647058823527,163,935.6288235294116,Low Volume - Low Price
16238,PARTY TIME PENCIL ERASERS,1261,0.23562499999999997,78,297.12312499999996,Low Volume - Low Price
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,1.225,2,8.575000000000001,Low Volume - Low Price
16248B,BLUE HOLE PUNCH,13,1.25,7,16.25,Low Volume - Low Price
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,1.0233333333333332,9,31.72333333333333,Low Volume - Low Price
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,444,0.45820512820512815,39,203.4430769230769,Low Volume - Low Price
16259,PIECE OF CAMO STATIONERY SET,3272,0.09625,32,314.93,Low Volume - Low Price
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,0.29,1,20.88,Low Volume - Low Price
17003,BROCADE RING PURSE ,22960,1.1306603773584907,209,25959.962264150945,High Volume - Low Price
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,2.1,2,50.400000000000006,Low Volume - Low Price
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,1.1333333333333335,6,90.66666666666669,Low Volume - Low Price
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,270,1.1079999999999999,24,299.15999999999997,Low Volume - Low Price
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,1.0763888888888888,36,489.7569444444444,Low Volume - Low Price
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,363,1.1511363636363636,43,417.8625,Low Volume - Low Price
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,387,1.108695652173913,44,429.0652173913044,Low Volume - Low Price
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,59,1.525,3,89.975,Low Volume - Low Price
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,1.0035714285714286,42,366.30357142857144,Low Volume - Low Price
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,0.8672727272727272,11,461.3890909090909,Low Volume - Low Price
17014A,ORIGAMI VANILLA INCENSE CONES,154,0.6071428571428571,7,93.49999999999999,Low Volume - Low Price
17021,NAMASTE SWAGAT INCENSE,2427,0.2947368421052632,47,715.3263157894737,Low Volume - Low Price
17028J,INCENSE BAZAAR PEACH,6,0.42,1,2.52,Low Volume - Low Price
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,0.09526315789473684,19,142.99,Low Volume - Low Price
17084A,TRANQUILITY MASALA INCENSE,200,0.21,7,42.0,Low Volume - Low Price
17084J,LOVE POTION MASALA INCENSE,225,0.21,8,47.25,Low Volume - Low Price
17084N,FAIRY DREAMS INCENSE ,1025,0.2084375,32,213.6484375,Low Volume - Low Price
17084P,DRAGONS BLOOD INCENSE,349,0.21,13,73.28999999999999,Low Volume - Low Price
17084R,ASSORTED INCENSE PACK,4032,0.20259259259259257,27,816.8533333333332,Low Volume - Low Price
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,1.17,10,127.52999999999999,Low Volume - Low Price
17090D,VANILLA INCENSE 40 CONES IN TIN,29,1.25,12,36.25,Low Volume - Low Price
17091A,LAVENDER INCENSE IN TIN,172,0.7815384615384615,25,134.42461538461538,Low Volume - Low Price
17091J,VANILLA INCENSE IN TIN,2066,0.5476923076923077,87,1131.5323076923078,Low Volume - Low Price
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,0.20076923076923076,13,505.13538461538457,Low Volume - Low Price
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",171,2.55,46,436.04999999999995,Low Volume - Low Price
17109D,FLOWER FAIRY INCENSE BOUQUET,61,0.9039999999999999,5,55.14399999999999,Low Volume - Low Price
17129F,BLUE GLASS GEMS IN BAG,425,0.844,20,358.7,Low Volume - Low Price
17136A,BLUE STONES ON WIRE FOR CANDLE,404,0.0995,17,40.198,Low Volume - Low Price
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,29,0.42000000000000004,9,12.180000000000001,Low Volume - Low Price
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,1.05,7,28.35,Low Volume - Low Price
17174,ASSTD RASTA KEY-CHAINS,9,0.42,3,3.78,Low Volume - Low Price
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,3.75,2,15.0,Low Volume - Low Price
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,0.16666666666666666,17,976.0,Low Volume - Low Price
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,1.1966666666666665,15,160.35333333333332,Low Volume - Low Price
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,2.55,4,12.75,Low Volume - Low Price
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,381,2.498275862068965,54,951.8431034482758,Low Volume - Low Price
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,2.918421052631579,36,563.2552631578948,Low Volume - Low Price
20615,BLUE POLKADOT PASSPORT COVER,231,1.4831428571428573,35,342.60600000000005,Low Volume - Low Price
20616,CHERRY BLOSSOM PASSPORT COVER,134,1.3172,25,176.5048,Low Volume - Low Price
20617,FIRST CLASS PASSPORT COVER ,66,2.224615384615385,26,146.8246153846154,Low Volume - Low Price
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,2.0707142857142857,28,140.80857142857144,Low Volume - Low Price
20619,TROPICAL PASSPORT COVER ,142,2.309090909090909,22,327.8909090909091,Low Volume - Low Price
20622,VIPPASSPORT COVER ,163,1.9933333333333334,32,324.91333333333336,Low Volume - Low Price
20652,BLUE POLKADOT LUGGAGE TAG ,150,1.4180555555555554,33,212.70833333333331,Low Volume - Low Price
20653,CHERRY BLOSSOM LUGGAGE TAG,33,1.6533333333333333,6,54.56,Low Volume - Low Price
20654,FIRST CLASS LUGGAGE TAG ,105,1.2341666666666666,23,129.5875,Low Volume - Low Price
20655,QUEEN OF SKIES LUGGAGE TAG,89,1.31,34,116.59,Low Volume - Low Price
20657,TROPICAL LUGGAGE TAG,61,1.3513636363636363,22,82.43318181818182,Low Volume - Low Price
20658,RED RETROSPOT LUGGAGE TAG,328,1.25,59,410.0,Low Volume - Low Price
20659,ECONOMY LUGGAGE TAG,95,1.540625,29,146.359375,Low Volume - Low Price
20661,BLUE POLKADOT PURSE ,9,4.654,5,41.885999999999996,Low Volume - Low Price
20662,FIRST CLASS HOLIDAY PURSE ,11,4.086,5,44.946000000000005,Low Volume - Low Price
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,3.896666666666667,3,11.690000000000001,Low Volume - Low Price
20664,TROPICAL HOLIDAY PURSE ,6,2.9500000000000006,3,17.700000000000003,Low Volume - Low Price
20665,RED RETROSPOT PURSE ,340,2.944520547945206,73,1001.13698630137,Low Volume - Low Price
20666,ECONOMY HOLIDAY PURSE,4,2.95,4,11.8,Low Volume - Low Price
20667,CHERRY BLOSSOM PURSE,1,2.95,1,2.95,Low Volume - Low Price
20668,DISCO BALL CHRISTMAS DECORATION,12714,0.11851063829787233,181,1506.7442553191488,High Volume - Low Price
20669,RED HEART LUGGAGE TAG,195,1.25,42,243.75,Low Volume - Low Price
20670,VIP HOLIDAY PURSE,8,3.896666666666667,6,31.173333333333336,Low Volume - Low Price
20671,BLUE TEATIME PRINT BOWL ,10,1.25,2,12.5,Low Volume - Low Price
20674,GREEN POLKADOT BOWL,1367,1.2516993464052286,150,1711.0730065359476,Low Volume - Low Price
20675,BLUE POLKADOT BOWL,2717,1.2419736842105265,225,3374.4425000000006,Low Volume - Low Price
20676,RED RETROSPOT BOWL,4341,1.2438762214983714,301,5399.66667752443,Low Volume - Low Price
20677,PINK POLKADOT BOWL,3154,1.2583111111111112,221,3968.7132444444446,Low Volume - Low Price
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,1.65,1,6.6,Low Volume - Low Price
20679,EDWARDIAN PARASOL RED,1621,5.920693430656934,273,9597.44405109489,Low Volume - Low Price
20681,PINK POLKADOT CHILDRENS UMBRELLA,123,3.25,35,399.75,Low Volume - Low Price
20682,RED RETROSPOT CHILDRENS UMBRELLA,1120,3.3109523809523806,188,3708.2666666666664,Low Volume - Low Price
20684,STRAWBERRY DREAM CHILDS UMBRELLA,78,3.25,32,253.5,Low Volume - Low Price
20685,DOORMAT RED RETROSPOT,3835,7.751467576791808,583,29726.878156996583,High Volume - Low Price
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,255,3.302,64,842.01,Low Volume - Low Price
20694,FLORAL PINK MONSTER,36,3.75,10,135.0,Low Volume - Low Price
20695,FLORAL BLUE MONSTER,5,4.25,4,21.25,Low Volume - Low Price
20696,FLORAL SOFT CAR TOY,32,3.75,10,120.0,Low Volume - Low Price
20697,LITTLE GREEN MONSTER SOFT TOY,19,2.55,9,48.449999999999996,Low Volume - Low Price
20698,LITTLE PINK MONSTER SOFT TOY,16,2.55,7,40.8,Low Volume - Low Price
20699,MOUSEY LONG LEGS SOFT TOY,29,2.55,11,73.94999999999999,Low Volume - Low Price
20700,GREEN CAT FLORAL CUSHION COVER ,10,3.75,4,37.5,Low Volume - Low Price
20701,PINK CAT FLORAL CUSHION COVER ,6,3.75,3,22.5,Low Volume - Low Price
20702,PINK PADDED MOBILE,128,4.25,40,544.0,Low Volume - Low Price
20703,BLUE PADDED SOFT MOBILE,-6,4.25,4,-25.5,Low Volume - Low Price
20704,MR ROBOT SOFT TOY,207,4.825,40,998.7750000000001,Low Volume - Low Price
20705,MRS ROBOT SOFT TOY,142,4.708620689655173,29,668.6241379310345,Low Volume - Low Price
20707,CRAZY DAISY HEART DECORATION,154,1.5346875,32,236.341875,Low Volume - Low Price
20711,JUMBO BAG TOYS ,4176,2.0079133858267717,252,8385.0462992126,Low Volume - Low Price
20712,JUMBO BAG WOODLAND ANIMALS,7947,2.0346442687747035,501,16169.318003952569,High Volume - Low Price
